always	3	379	-1	-1
appreciate	1	278	-1	-1
small	3	379	-1	-1
gifts	1	279	-1	-1
of	11	466	-1	-1
money	1	279	-1	-1
.	16	490	-1	-1
Father	1	280	-1	-1
,	14	483	-1	-1
of	11	466	-1	-1
course	1	280	-1	-1
,	14	483	-1	-1
provides	1	281	-1	-1
a	11	467	-1	-1
regular	1	281	-1	-1
supply	1	282	-1	-1
of	11	467	-1	-1
pocket-money	1	282	-1	-1
,	14	484	-1	-1
but	3	380	-1	-1
uncles	1	283	-1	-1
and	10	452	-1	-1
aunts	1	283	-1	-1
are	2	336	-1	-1
always	3	380	-1	-1
a	11	468	-1	-1
source	1	284	-1	-1
of	11	468	-1	-1
extra	1	284	-1	-1
income	1	285	-1	-1
.	16	490	-1	-1
With	1	285	-1	-1
some	1	286	-1	-1
children	2	336	-1	-1
,	14	484	-1	-1
small	3	381	-1	-1
sums	1	286	-1	-1
go	1	287	-1	-1
a	11	469	-1	-1
long	1	287	-1	-1
way	3	381	-1	-1
.	16	491	-1	-1
If	1	288	-1	-1
sixpences	2	337	-1	-1
are	2	337	-1	-1
not	4	395	-1	-1
exchanged	1	288	-1	-1
for	3	382	-1	-1
sweets	1	289	-1	-1
,	14	485	-1	-1
they	1	289	-1	-1
rattle	1	290	-1	-1
for	3	382	-1	-1
months	1	290	-1	-1
inside	1	291	-1	-1
money-boxes	1	291	-1	-1
.	16	491	-1	-1
Only	1	292	-1	-1
very	1	292	-1	-1
thrifty	1	293	-1	-1
children	2	338	-1	-1
manage	1	293	-1	-1
to	4	396	-1	-1
fill	1	294	-1	-1
up	2	338	-1	-1
a	11	469	-1	-1
money-box	2	339	-1	-1
.	16	492	-1	-1
For	1	294	-1	-1
most	1	295	-1	-1
of	11	470	-1	-1
them	1	295	-1	-1
,	14	485	-1	-1
sixpence	5	421	-1	-1
is	3	383	-1	-1
a	11	470	-1	-1
small	3	383	-1	-1
price	1	296	-1	-1
to	4	396	-1	-1
pay	1	296	-1	-1
for	3	384	-1	-1
a	11	471	-1	-1
satisfying	1	297	-1	-1
bar	1	297	-1	-1
of	11	471	-1	-1
chocolate	1	298	-1	-1
.	16	492	-1	-1

	3	384	-1	-1
My	1	298	-1	-1
nephew	1	299	-1	-1
,	14	486	-1	-1
George	5	421	-1	-1
,	14	486	-1	-1
has	1	299	-1	-1
a	11	472	-1	-1
money-box	2	339	-1	-1
but	3	385	-1	-1
it	3	385	-1	-1
is	3	386	-1	-1
always	3	386	-1	-1
empty	1	300	-1	-1
.	16	493	-1	-1
Very	1	300	-1	-1
few	1	301	-1	-1
of	11	472	-1	-1
the	6	428	-1	-1
sixpences	2	340	-1	-1
I	2	340	-1	-1
have	2	341	-1	-1
given	1	301	-1	-1
him	5	422	-1	-1
have	2	341	-1	-1
found	1	302	-1	-1
their	1	302	-1	-1
way	3	387	-1	-1
there	1	303	-1	-1
.	16	493	-1	-1
I	2	342	-1	-1
gave	1	303	-1	-1
him	5	422	-1	-1
sixpence	5	423	-1	-1
yesterday	1	304	-1	-1

	3	387	-1	-1
and	10	453	-1	-1
advised	1	304	-1	-1
him	5	423	-1	-1
to	4	397	-1	-1
save	1	305	-1	-1
it	3	388	-1	-1
.	16	494	-1	-1
Instead	1	305	-1	-1
,	14	487	-1	-1
he	3	388	-1	-1
bought	1	306	-1	-1
himself	1	306	-1	-1
sixpence	5	424	-1	-1
worth	1	307	-1	-1
of	11	473	-1	-1
trouble	1	307	-1	-1
.	16	494	-1	-1
On	1	308	-1	-1
his	10	453	-1	-1
way	3	389	-1	-1
to	4	397	-1	-1
the	6	429	-1	-1
sweet	2	342	-1	-1
shop	2	343	-1	-1
,	14	487	-1	-1
he	3	389	-1	-1
dropped	1	308	-1	-1
his	10	454	-1	-1
sixpence	5	424	-1	-1
and	10	454	-1	-1
it	3	390	-1	-1
rolled	2	343	-1	-1
along	1	309	-1	-1
the	6	429	-1	-1
pavement	1	309	-1	-1
and	10	455	-1	-1
then	1	310	-1	-1
disappeared	1	310	-1	-1
down	1	311	-1	-1
a	11	473	-1	-1
drain	2	344	-1	-1
.	16	495	-1	-1
George	5	425	-1	-1
took	1	311	-1	-1
off	1	312	-1	-1
his	10	455	-1	-1
jacket	1	312	-1	-1
,	14	488	-1	-1
rolled	2	344	-1	-1
up	2	345	-1	-1
his	10	456	-1	-1
sleeves	1	313	-1	-1
and	10	456	-1	-1
pushed	1	313	-1	-1
his	10	457	-1	-1
right	1	314	-1	-1
arm	3	390	-1	-1
through	1	314	-1	-1
the	6	430	-1	-1
drain	2	345	-1	-1
cover	1	315	-1	-1
.	16	495	-1	-1
He	1	315	-1	-1
could	2	346	-1	-1
not	4	398	-1	-1
find	1	316	-1	-1
his	10	457	-1	-1
sixpence	5	425	-1	-1
anywhere	1	316	-1	-1
,	14	488	-1	-1
and	10	458	-1	-1
what	1	317	-1	-1
is	3	391	-1	-1
more	1	317	-1	-1
,	14	489	-1	-1
he	3	391	-1	-1
could	2	346	-1	-1
not	4	398	-1	-1
get	1	318	-1	-1
his	10	458	-1	-1
arm	3	392	-1	-1
out	1	318	-1	-1
.	16	496	-1	-1

	3	392	-1	-1
A	1	319	-1	-1
crowd	1	319	-1	-1
of	11	474	-1	-1
people	1	320	-1	-1
gathered	1	320	-1	-1
round	1	321	-1	-1
him	5	426	-1	-1
and	10	459	-1	-1
a	11	474	-1	-1
lady	2	347	-1	-1
rubbed	1	321	-1	-1
his	10	459	-1	-1
arm	3	393	-1	-1
with	2	347	-1	-1
soap	1	322	-1	-1
and	10	460	-1	-1
butter	1	322	-1	-1
,	14	489	-1	-1
but	3	393	-1	-1
George	5	426	-1	-1
was	3	394	-1	-1
firmly	1	323	-1	-1
stuck	1	323	-1	-1
.	16	496	-1	-1
The	1	324	-1	-1
fire-brigade	1	324	-1	-1
was	3	394	-1	-1
called	1	325	-1	-1
and	10	460	-1	-1
two	1	325	-1	-1
firemen	1	326	-1	-1
freed	1	326	-1	-1
George	5	427	-1	-1
using	1	327	-1	-1
a	11	475	-1	-1
special	1	327	-1	-1
type	1	328	-1	-1
of	11	475	-1	-1
grease	1	328	-1	-1
.	16	497	-1	-1
George	5	427	-1	-1
was	3	395	-1	-1
not	4	399	-1	-1
too	1	329	-1	-1
upset	1	329	-1	-1
by	1	330	-1	-1
his	10	461	-1	-1
experience	1	330	-1	-1
because	1	331	-1	-1
the	6	430	-1	-1
lady	2	348	-1	-1
who	1	331	-1	-1
owns	1	332	-1	-1
the	6	431	-1	-1
sweet	2	348	-1	-1
shop	2	349	-1	-1
heard	1	332	-1	-1
about	1	333	-1	-1
his	10	461	-1	-1
troubles	1	333	-1	-1
and	10	462	-1	-1
rewarded	1	334	-1	-1
him	5	428	-1	-1
with	2	349	-1	-1
a	11	476	-1	-1
large	1	334	-1	-1
